Column,n_observations,original_missing,processed_missing,fill_rate,mean,std,min,max,median,q1,q3,skewness,kurtosis
Environmental,36,5,0,100.0,68.63363602272466,4.958128568567707,60.993428306022466,77.70455636901788,68.5546970843535,64.05316952258599,73.31579912717423,0.15757153807862853,-1.1076639497737855
Social,36,5,1,80.0,70.01078891000334,3.779448431541301,63.11271055980933,76.92279121101683,70.70758675183865,66.94902057576103,73.25208919355828,-0.22462680185760103,-0.9351378154285914
Governance,36,5,0,100.0,73.35216997240164,3.329440690899261,63.850637239775644,81.51546475302632,73.97715150645256,71.04251962795351,75.31926457362593,-0.5966862409666027,1.509095058267465
