,forecast,lower_ci,upper_ci
36,76.77271557891456,72.52392636795247,81.02150478987664
37,74.96373735808166,69.12490101857021,80.8025736975931
38,76.67417763178895,69.7229041255139,83.625451138064
39,76.829321656015,68.39442723423993,85.26421607779007
40,76.49345262601155,67.31871794032082,85.66818731170227
41,78.42034236751836,67.92964981973199,88.91103491530473
42,76.86393926237393,65.66022139227708,88.06765713247079
43,79.30333153876477,67.0582220821122,91.54844099541734
44,77.96386958866749,64.89076081361517,91.03697836371981
45,79.56189984682221,65.69532645995794,93.42847323368649
46,79.4864681255719,64.67597969337703,94.29695655776678
47,79.65284551168578,64.18243181369955,95.12325920967201
